Date,Time_A/P,Building,P(epsi) or C(anteen),Machine ID/ Asset #,Problem,Date Reported,Who Called it In?,Pepsi Confirm  # or n/a,Name of Person at P or C reported to,Other Notes / Service Deadline
11/5/19,12:12 PM,Aden,C,68454,"Stealing some coins, not accepting bills, will not vend. D4, B6 examples",11/6/19,Cate,n/a,"emailed canteen, Jeanne confirmed dispatch",
11/6/19,10:49 AM,UMC,P,10963775,Sweet tea didn't dispense,11/6/19,Cate,121376416,Andrew has dispatched,
11/6/19,1:30 PM,Education,C,67358,Bottom row not dispensing,11/7/19,Cate,n/a,Emailed Canteen,Jeanne dispatched 8:15 11/8
11/7/19,5:00 PM,Atlas,C,66438,Rice Krispy Treat failed to dispense,11/7/19,Cate,n/a,Emailed Canteen,Jeanne dispatched 8:15 11/8
11/7/19,5:55 PM,Engineering,P,10735615,"Arm only went halfway, couldn't reach drink",11/7/19,Cate,121399696,Katrina has dispatched,
11/8/19,12:42 PM,Aerospace,C,69473,"""bad characters displeased on payment machine."" Machine not responding",11/8/19,Cate,n/a,Jeanne has dispatched,
11/10/19,3:57 PM,Aden,C,84213,Light is on,11/11/19,Cate,n/a,Jeanne has dispatched,
11/11/19,2:17 AM,Koebel/Leeds,P,11139703,ICE TEA stuck would not drop,11/11/19,Linda,121435266,Don will submit,
11/11/19,3:07 PM,ARC,P,2563398,"Diet Pepsi button = Regular Pepsi, Different Diet Pepsi button = a click, no product",11/11/19,Cate,121435947,Anita has dispatched,
11/12/19,8:31 AM,CUBS,All,4 units,Move requested after 11/19 to east wall,11/12/19,Cate,n/a,emailed pepsi & canteen,
11/13/19,7:57 AM,Aerospace,C,69473,"Half empty, please fill",11/13/19,Cate,n/a,Steve has dispatched,
11/13/19,9:44 AM,Biotech,C,,Needs to be filled,n/a,Cate,n/a,Maryellen confirmed snacks were filled after her first email,
1/13/19,2:15 PM,Sewall,C,84203,"Not accepting bills, no lights",1/13/19,Cate,n/a,Jeanne has dispatched,
11/13/19,4:37 PM,Chey-Arapaho,C,84069,Customer was shorted $1 in change,1/13/19,Cate,n/a,"Emailed canteen; dispatched 11/14/19, 11:06a","Waiting for customer reply to email; asset ID# provided 137093, not on our list"
11/15/19,8:00 AM,Clare Small,P,2582246,takes money does not give product or refund money,11/15/19,Linda,121508578,Gavin send for someone today,
11/17/19,3:56 PM,Rec Center,C,68683,"Not accepting any non-cash pmts ""could not authorize"" ApplePay",11/18/19,Cate,n/a,Steve has dispatched,
11/17/19,9:52 AM,Chey-Arapaho,C,84069,"Only received 50 cents for $1 bill, then 1/18 5:45p, customer got $1.50 for $5 bill.",11/18/19,Cate,n/a,Steve will check on this to see whether it's been serviced.,Email Canteen re: not resolved 5:55p 11/18
11/18/19,12:12 AM,Engineering,P,10735615,"Product fell to bottom, customer didn't receive it.",11/18/19,Cate,121542730,Michelle has dispatched,eob 11/19
11/18/19,4:32 PM,Engineering,C,67766,Failed to dispense,11/18/19,Cate,n/a,emailed canteen,
11/19/19,2:03 AM,LASP/LSTR,P,2565313,not dispensing product,11/19/19,Linda,121564455,Tracie will submit,
11/19/19,1:57 PM,CUBS,C,67721,Failed to dispense jerky,11/19/19,Cate,n/a,Jeanne has dispatched,
11/18/19,10:03 PM,Leeds,P,11139703,Failed to dispense from D3,11/19/19,Cate,121566691,Rachel has dispatched,eob 11/20
11/20/19,1:44 PM,Engineering,P,10442672,"Didn't work last week 11/14, charge remains",11/20/19,Cate,121586717,Roy has dispatched,eob 11/21
11/21/19,8:49 AM,Stadium,P,2565298,Card reader not working for past week,11/21/19,Cate,121605609,Tracy has dispatched,eob 11/22
11/21/19,3:15 PM,LASP LSTR,P,2565313,Stealing money (failure to dispense),11/21/19,Cate,121607865,Anne has dispatched,eob 11/22
11/21/19,3:15 PM,LASP LSTR,C,67088,"Failed to dispense, kept $5 bill long time",11/21/19,Cate,n/a,Jeanne has dispatched,
11/22/19,1:11 PM,Duane Physics,P,2579752,"Didn't dispense Dr. Pepper, did dispense something else 2nd try",11/22/19,Cate,121625271,Jerry has dispatched,eob 11/25
11/25/19,4:26 PM,Baker,P,10387967,Failed to dispense Mtn Dew Ice LemLim,11/26/19,Cate,121671061,Michelle has dispatched,depends on weather & campus conditions
12/2/19,11:17 AM,Hallett,P,10686190,Failed to dispense Pepsi,12/2/19,Cate,121717852,Camesia has dispatched,eob 12/2
12/3/19,9:56 AM,Regent,C,67760,"Put in $10, did not get product or change",12/3/19,Linda,n/a,Tonie will submit,
12/3/19,11:05 AM,Muenzinger,P,8051844,"After card is swiped, won't vend, then times out = impossible to get product w/card",12/3/19,Cate,121738143,Astra has dispatched,Still a semi-frequent issue since April; customer likes Starbucks
12/6/19,12:45 PM,UMC,P,11319620,"X Homing Failure & ""Cash Only"" message",12/6/19,Cate,121789441,Katherine has dispatched,eob 12/9/19
12/6/19,12:45 PM,UMC,P,10356368,"Cards don't work, ""cash only"" message",12/6/19,Cate,121789544,Katherine has dispatched,eob 12/9/19
12/6/19,9:40 AM,Kittredge West,P,10224820,Asset swap! Initiated by tech due to mechanical failure.,12/6/19,Pepsi,n/a,"Pepsi called us for directions, asked for ""Katie""","I had no info about this before today, emailed Scott & Alana, should be filled 12/9 or 12/10/19"
12/7/19,2:41 PM,Bear Creek A,P,2564599,"Message ""cash only,"" not accepting cash",12/9/19,Cate,121812445,Tanya has dispatched,"Lloyd should be fixing cooling issue today for call put in yesterday, Tanya added notes re: message & cash issue."
12/9/19,1:35 PM,CUBS,P,10963775,Incorrect pricing throughout,12/9/19,Cate,n/a,Emailed Alana Viera @ Pepsi,"She is covering Scott while on vacation, he replied 4-5 business days after product change, should be pre-set on new assets"
12/10/19,1:45 PM,Humanities,C,67165,"Failed to dispense 3x, beef jerky, ""insufficient funds"" message",12/10/19,Cate,n/a,Jeanne has dispatched,"2nd complaint 3:09 pm, email detail to Jeanne for Gilbert"
12/10/19,2:20 PM,SEEC,P,2492665,Dispensed EXPIRED Vanilla Frappucino,12/10/19,Cate,n/a,Patty has dispatched,EXP 9/16/2019
12/10/19,3:09 PM,Humanities,C,67165,"Reese's chocolate didn't dispense, ""insufficient funds"" message for cc",12/10/19,Cate,n/a,n/a,"Same as above, emailed Jeanne to be sure detail is given to Gilbert."
12/11/19,4:39 AM,Baker,P,10387967,"Will be swapped out due to mechanical failure (shorted harness, looks charred)",12/11/19,Scott,n/a,Scott @ Pepsi emailed us; Lloyd (tech) initiated swap,
12/11/19,9:01 AM,Stadium,P,2565298,"Card reader still not working @ 1 month, card reader is blank, unresponsive",12/11/19,Cate,121857549,"Erin has dispatched, Aaron updated","Opened new call, eob 12/12/19"
12/11/19,10:49 AM,Engineering,P,10442672,"Card transaction cancelled, never made selection, still looks like it was charged.",12/11/19,Cate,121857595,Erin has dispatched,eob 12/12/19
12/11/19,2:20 PM,Rec Center,C,68683,No power; Pepsi removed adjacent this am,12/11/19,Cate,n/a,Jeanne has dispatched,"No power problems w/building, I can't get to plug or GFCI to reset."
12/11/19,2:15 PM,Rec Center,C,68682,Pepsi removed; should move closer to wall,,Cate,,,
12/11/19,4:45 PM,UMC,P,11319620,Didn't dispense for cc after selection made,12/11/19,Cate,121861569,Charles has dispatched,eob 12/12/19
12/13/19,12:30 PM,Education,P,2565305,"error on credit card reader, unable to accept",12/13/19,Linda,121894605,Katrina has dispatched,eob 12/16
12/13/19,12:35 PM,Education,C,67358,"error on credit card reader, unable to accept",12/13/19,Linda,n/a,Jeannie will submit,
12/12/19,9:07 PM,Humanities,P,11174350,Failed to dispense Gatorade,12/13/19,Cate,121896164,Debora has dispatched,eob 12/16/19
12/15/19,3:22 PM,Humanities,P,11174350,Failed to dispense Vanilla Starbucks,12/16/19,Cate,121896164,Lisa confirmed previous call was closed today @ 11:00am,Did not request service for this since it happened before last call was closed.
12/15/19,4:00 PM,Rec Center,P,10177395,Failed to dispense water,12/16/19,Cate,121918903,Krista has dispatched,eob 12/12/19
12/14/19,5:00 PM,Williams Village,??,??,"Customer left message w/""Williams Village""",,,,,"Waiting for customer to call/email reply to identify machine, issue & form of pmt"
12/19/19,12:45 PM,UMC,P,2580456,"Unplugged! (no money, mostly empty)",12/19/19,Cate,121976422,Diana has dispatched,"eob 12/20/19, arrived at 1:45 p, machine had almost no money or product: slated for move?"
12/19/19,12:45 PM,UMC,P,10356368,"RSSI = 0, ""cash only"" message",12/19/19,Cate,121976434,Diana has dispatched,eob 12/20/19; service ticket didn't go to tech; probably slated for pickup?
12/19/19,11:00 AM,Bear Creek A,C,69837,Request for Chocolate Pop-tarts,12/19/19,Cate,n/a,emailed Canteen,They only carry Strawberry
12/19/19,2:24 PM,Norlin,P,2666058,"It is ""completely unstocked""",12/19/19,Cate,n/a,Samatha has dispatched,"""next couple of business days"""
12/29/19,7:49 PM,Engineering,C,67352,Flamin' Hot Cheetos 307 failed to dispense,12/30/19,Cate,n/a,Jeanne has dispatched,
